test,metric,presence,mode,row_label,column_label,count,n,status,notes
B,CONFUSION,EDUCA,MONO,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,TOTAL,COLOR,,,,,PENDING_HUMAN_DATA,aggregate after data collection
B,CONFUSION,TOTAL,MONO,,,,,PENDING_HUMAN_DATA,aggregate after data collection
B,CONFUSION,TOTAL,ALL,,,,,PENDING_HUMAN_DATA,aggregate after data collection
